"year","election_type","state","votes","eligible_voters"
2014,"Midterm","Alabama",1191274,3588783
2014,"Midterm","Alaska",285431,520562
2014,"Midterm","Arizona",1537671,4510186
2014,"Midterm","Arkansas",852642,2117881
2014,"Midterm","California",7513972,24440416
2014,"Midterm","Colorado",2080071,3800664
2014,"Midterm","Connecticut",1096556,2577311
2014,"Midterm","Delaware",238110,681526
2014,"Midterm","District of Columbia",177176,495899
2014,"Midterm","Florida",6026802,13914216
2014,"Midterm","Georgia",2596947,6725041
2014,"Midterm","Hawaii",369554,1012123
2014,"Midterm","Idaho",445307,1119882
2014,"Midterm","Illinois",3680417,9028752
2014,"Midterm","Indiana",1387622,4829510
2014,"Midterm","Iowa",1142284,2269179
2014,"Midterm","Kansas",887023,2048164
2014,"Midterm","Kentucky",1459409,3247300
2014,"Midterm","Louisiana",1503975,3349433
2014,"Midterm","Maine",616996,1051557
2014,"Midterm","Maryland",1745104,4154546
2014,"Midterm","Massachusetts",2186789,4896296
2014,"Midterm","Michigan",3188956,7383958
2014,"Midterm","Minnesota",1992613,3935121
2014,"Midterm","Mississippi",NA,2181131
2014,"Midterm","Missouri",1509025,4493722
2014,"Midterm","Montana",373831,787748
2014,"Midterm","Nebraska",552115,1334453
2014,"Midterm","Nevada",552546,1867644
2014,"Midterm","New Hampshire",495565,1025862
2014,"Midterm","New Jersey",1955042,6014127
2014,"Midterm","New Mexico",NA,1449503
2014,"Midterm","New York",3930310,13553426
2014,"Midterm","North Carolina",2939767,7143737
2014,"Midterm","North Dakota",255128,567221
2014,"Midterm","Ohio",3149876,8701243
2014,"Midterm","Oklahoma",825607,2755091
2014,"Midterm","Oregon",1541782,2887517
2014,"Midterm","Pennsylvania",3535576,9689491
2014,"Midterm","Rhode Island",329212,776286
2014,"Midterm","South Carolina",1261611,3584461
2014,"Midterm","South Dakota",282291,630989
2014,"Midterm","Tennessee",1430117,4799476
2014,"Midterm","Texas",NA,16675420
2014,"Midterm","Utah",577973,1905801
2014,"Midterm","Vermont",202445,495884
2014,"Midterm","Virginia",2194346,5962456
2014,"Midterm","Washington",2123901,4928407
2014,"Midterm","West Virginia",462864,1447652
2014,"Midterm","Wisconsin",2422248,4260427
2014,"Midterm","Wyoming",171153,431434
2012,"Presidential","Alabama",NA,3539217
2012,"Presidential","Alaska",301694,511792
2012,"Presidential","Arizona",2323579,4387900
2012,"Presidential","Arkansas",1078548,2109847
2012,"Presidential","California",13202158,23681837
2012,"Presidential","Colorado",2596173,3675871
2012,"Presidential","Connecticut",1560640,2543202
2012,"Presidential","Delaware",NA,663967
2012,"Presidential","District of Columbia",294254,477582
2012,"Presidential","Florida",8538264,13495057
2012,"Presidential","Georgia",3919355,6606607
2012,"Presidential","Hawaii",437159,982902
2012,"Presidential","Idaho",666290,1091410
2012,"Presidential","Illinois",5279752,8899143
2012,"Presidential","Indiana",2663368,4755291
2012,"Presidential","Iowa",1589951,2251748
2012,"Presidential","Kansas",1182771,2030686
2012,"Presidential","Kentucky",1815843,3229185
2012,"Presidential","Louisiana",2014548,3311626
2012,"Presidential","Maine",724758,1046008
2012,"Presidential","Maryland",2734062,4063582
2012,"Presidential","Massachusetts",3184196,4809675
2012,"Presidential","Michigan",4780701,7312725
2012,"Presidential","Minnesota",2950780,3861598
2012,"Presidential","Mississippi",NA,2166825
2012,"Presidential","Missouri",NA,4432957
2012,"Presidential","Montana",491966,774476
2012,"Presidential","Nebraska",804245,1316915
2012,"Presidential","Nevada",1016664,1800969
2012,"Presidential","New Hampshire",718700,1013420
2012,"Presidential","New Jersey",3683638,5918182
2012,"Presidential","New Mexico",786522,1436363
2012,"Presidential","New York",7128852,13324107
2012,"Presidential","North Carolina",4542488,6947954
2012,"Presidential","North Dakota",325564,539164
2012,"Presidential","Ohio",5632423,8649495
2012,"Presidential","Oklahoma",NA,2713268
2012,"Presidential","Oregon",1820507,2836101
2012,"Presidential","Pennsylvania",NA,9651432
2012,"Presidential","Rhode Island",NA,768918
2012,"Presidential","South Carolina",1981516,3486838
2012,"Presidential","South Dakota",368270,613190
2012,"Presidential","Tennessee",2478870,4736084
2012,"Presidential","Texas",NA,16119973
2012,"Presidential","Utah",1028786,1833339
2012,"Presidential","Vermont",301793,493355
2012,"Presidential","Virginia",3888186,5834676
2012,"Presidential","Washington",3172939,4822060
2012,"Presidential","West Virginia",NA,1447066
2012,"Presidential","Wisconsin",NA,4209370
2012,"Presidential","Wyoming",250701,425142
2010,"Midterm","Alabama",1503232,3472582
2010,"Midterm","Alaska",261128,493764
2010,"Midterm","Arizona",1750840,4209544
2010,"Midterm","Arkansas",789773,2081156
2010,"Midterm","California",10529134,22946053
2010,"Midterm","Colorado",1828323,3533054
2010,"Midterm","Connecticut",1153872,2512981
2010,"Midterm","Delaware",316754,646969
2010,"Midterm","District of Columbia",135846,458619
2010,"Midterm","Florida",5473787,12961184
2010,"Midterm","Georgia",2623035,6464845
2010,"Midterm","Hawaii",386302,959531
2010,"Midterm","Idaho",459079,1069446
2010,"Midterm","Illinois",3792770,8798829
2010,"Midterm","Indiana",1791832,4697111
2010,"Midterm","Iowa",1133429,2234516
2010,"Midterm","Kansas",857658,2011497
2010,"Midterm","Kentucky",1417995,3198093
2010,"Midterm","Louisiana",1298649,3249524
2010,"Midterm","Maine",580584,1038201
2010,"Midterm","Maryland",1868179,4001034
2010,"Midterm","Massachusetts",2319963,4693670
2010,"Midterm","Michigan",3268217,7245281
2010,"Midterm","Minnesota",2123369,3802677
2010,"Midterm","Mississippi",NA,2129334
2010,"Midterm","Missouri",1997271,4366435
2010,"Midterm","Montana",367096,758653
2010,"Midterm","Nebraska",503514,1301483
2010,"Midterm","Nevada",723515,1747288
2010,"Midterm","New Hampshire",461423,999918
2010,"Midterm","New Jersey",2200974,5834037
2010,"Midterm","New Mexico",630013,1408872
2010,"Midterm","New York",4763899,13135048
2010,"Midterm","North Carolina",2700706,6785463
2010,"Midterm","North Dakota",241039,516974
2010,"Midterm","Ohio",3956028,8571952
2010,"Midterm","Oklahoma",1043507,2666767
2010,"Midterm","Oregon",1487210,2760607
2010,"Midterm","Pennsylvania",4055336,9565822
2010,"Midterm","Rhode Island",346357,763534
2010,"Midterm","South Carolina",1365480,3388417
2010,"Midterm","South Dakota",323410,599507
2010,"Midterm","Tennessee",1620619,4622919
2010,"Midterm","Texas",5066957,15514007
2010,"Midterm","Utah",653274,1772934
2010,"Midterm","Vermont",243617,488942
2010,"Midterm","Virginia",2214505,5660589
