year,Unit,Total Fossil Fuels Production,Total Renewable Energy Production,Total Primary Energy Production
1949,Quadrillion Btu,28.740479,2.973984,31.714463
1950,Quadrillion Btu,32.553205,2.977718,35.530922
1951,Quadrillion Btu,35.782118,2.958464,38.740582
1952,Quadrillion Btu,34.964662,2.940181,37.904843
1953,Quadrillion Btu,35.338361,2.83146,38.169821
1954,Quadrillion Btu,33.752228,2.754099,36.506328
1955,Quadrillion Btu,37.346797,2.783987,40.130784
1956,Quadrillion Btu,39.75301,2.850582,42.603591
1957,Quadrillion Btu,40.11844,2.849194,42.967746
1958,Quadrillion Btu,37.205122,2.91509,40.122127
1959,Quadrillion Btu,39.032065,2.901339,41.935591
1960,Quadrillion Btu,39.854831,2.928204,42.789061
1961,Quadrillion Btu,40.28869,2.952226,43.260594
1962,Quadrillion Btu,41.709896,3.117444,44.853735
1963,Quadrillion Btu,44.014731,3.096431,47.149309
1964,Quadrillion Btu,45.76318,3.225248,49.028247
1965,Quadrillion Btu,47.205318,3.395816,50.644298
1966,Quadrillion Btu,50.010529,3.432462,53.507149
1967,Quadrillion Btu,52.568322,3.690213,56.346991
1968,Quadrillion Btu,54.274269,3.772656,58.188458
1969,Quadrillion Btu,56.251915,4.094892,60.500528
1970,Quadrillion Btu,59.152139,4.070021,63.461507
1971,Quadrillion Btu,58.01067,4.262213,62.685822
1972,Quadrillion Btu,58.904079,4.382009,63.869839
1973,Quadrillion Btu,58.207232,4.410938,63.528346
1974,Quadrillion Btu,56.294408,4.741852,62.308343
1975,Quadrillion Btu,54.696919,4.68712,61.283838
1976,Quadrillion Btu,54.683564,4.727151,61.521836
1977,Quadrillion Btu,55.059451,4.208966,61.970179
1978,Quadrillion Btu,55.03064,5.00544,63.060205
1979,Quadrillion Btu,57.951852,5.122854,65.850534
1980,Quadrillion Btu,58.979084,5.428342,67.146595
1981,Quadrillion Btu,58.488231,5.413688,66.909508
1982,Quadrillion Btu,57.415947,5.979637,66.526732
1983,Quadrillion Btu,54.368171,6.495612,64.066333
1984,Quadrillion Btu,58.809192,6.437864,68.799586
1985,Quadrillion Btu,57.501721,6.084017,67.6613
1986,Quadrillion Btu,56.539007,6.11114,67.030256
1987,Quadrillion Btu,57.130643,5.6218070000000004,67.506383
1988,Quadrillion Btu,57.845857,5.456754,68.889579
1989,Quadrillion Btu,57.447703,6.234658,69.284522
1990,Quadrillion Btu,58.523186,6.040024,70.667561
1991,Quadrillion Btu,57.831148,6.067785,70.321066
1992,Quadrillion Btu,57.614681,5.820556,69.914443
1993,Quadrillion Btu,55.78027,6.081909,68.272678
1994,Quadrillion Btu,58.002045,5.987142,70.683064
1995,Quadrillion Btu,57.496395,6.557308,71.12914
1996,Quadrillion Btu,58.337658,7.010889,72.435221
1997,Quadrillion Btu,58.806283,7.01681,72.420085
1998,Quadrillion Btu,59.265918,6.492735,72.826461
1999,Quadrillion Btu,57.559797,6.515588,71.685641
2000,Quadrillion Btu,57.306574,6.101667,71.27059
2001,Quadrillion Btu,58.484745,5.161772,71.675371
2002,Quadrillion Btu,56.776711,5.730902,70.653042
2003,Quadrillion Btu,55.982583,5.942467,69.884672
2004,Quadrillion Btu,55.88402,6.062671,70.169464
2005,Quadrillion Btu,54.995301,6.220812,69.376923
2006,Quadrillion Btu,55.876707,6.586243,70.677577
2007,Quadrillion Btu,56.369113,6.510367,71.338069
2008,Quadrillion Btu,57.526852,7.191546,73.14489
2009,Quadrillion Btu,56.611549,7.624932,72.591701
2010,Quadrillion Btu,58.159003,8.313762,74.907198
2011,Quadrillion Btu,60.513432,9.299548,78.081679
2012,Quadrillion Btu,62.286161,8.886018,79.234001
2013,Quadrillion Btu,64.174188,9.417903,81.836524
2014,Quadrillion Btu,69.610673,9.766517,87.714749
2015,Quadrillion Btu,70.184824,9.728765,88.250475
2016,Quadrillion Btu,65.419614,10.422872,84.269238
2017,Quadrillion Btu,68.436796,11.195923,88.051687
2018,Quadrillion Btu,75.670047,11.508364,95.616479
2019,Quadrillion Btu,80.947496,11.636976,101.046846
