year,Unit,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production
1949,Quadrillion Btu,11.973882,5.377243,10.683252,0.706102,0,1.424722,NA,NA,NA,1.549262
1950,Quadrillion Btu,14.060135,6.232975,11.446729,0.813366,0,1.415411,NA,NA,NA,1.562307
1951,Quadrillion Btu,14.419325,7.415733,13.036724,0.910336,0,1.423795,NA,NA,NA,1.534669
1952,Quadrillion Btu,12.734313,7.963599,13.281049,0.985701,0,1.465812,NA,NA,NA,1.474369
1953,Quadrillion Btu,12.277746,8.338838,13.671076,1.050702,0,1.412859,NA,NA,NA,1.418601
1954,Quadrillion Btu,10.542448,8.681785,13.42693,1.101065,0,1.359772,NA,NA,NA,1.394327
1955,Quadrillion Btu,12.369608,9.344668,14.409682,1.222838,0,1.359844,NA,NA,NA,1.424143
1956,Quadrillion Btu,13.306334,10.002147,15.180241,1.264288,0,1.434711,NA,NA,NA,1.415871
1957,Quadrillion Btu,13.061393,10.605254,15.178026,1.273767,1.12e-4,1.515613,NA,NA,NA,1.333581
1958,Quadrillion Btu,10.783088,10.942235,14.204125,1.275674,0.001915,1.591967,NA,NA,NA,1.323123
1959,Quadrillion Btu,10.777984,11.951826,14.932622,1.369632,0.002187,1.548465,NA,NA,NA,1.352874
1960,Quadrillion Btu,10.817398,12.656133,14.934611,1.446688,0.006026,1.607975,3.59e-4,NA,NA,1.31987
1961,Quadrillion Btu,10.447091,13.104734,15.206196,1.530668,0.019678,1.656463,0.001001,NA,NA,1.294762
1962,Quadrillion Btu,10.90056,13.716861,15.521896,1.570579,0.026394,1.816141,0.001061,NA,NA,1.300242
1963,Quadrillion Btu,11.849229,14.512781,15.965793,1.686928,0.038147,1.771355,0.00176,NA,NA,1.323316
1964,Quadrillion Btu,12.523881,15.298396,16.163568,1.777335,0.039819,1.886314,0.002132,NA,NA,1.336802
1965,Quadrillion Btu,13.055285,15.775441,16.521381,1.853211,0.043164,2.059077,0.001978,NA,NA,1.334761
1966,Quadrillion Btu,13.467679,17.010742,17.561025,1.971083,0.064158,2.061519,0.001958,NA,NA,1.368985
1967,Quadrillion Btu,13.825487,17.943168,18.651304,2.148364,0.088456,2.346664,0.0033,NA,NA,1.340249
1968,Quadrillion Btu,13.608678,19.067853,19.308444,2.289294,0.141534,2.348629,0.004532,NA,NA,1.419495
1969,Quadrillion Btu,13.863346,20.446462,19.556156,2.385951,0.153722,2.647983,0.006422,NA,NA,1.440487
1970,Quadrillion Btu,14.607064,21.66567,20.40121,2.478196,0.239347,2.633547,0.005511,NA,NA,1.430962
1971,Quadrillion Btu,13.185523,22.279791,20.032701,2.512654,0.412939,2.824151,0.005739,NA,NA,1.432323
1972,Quadrillion Btu,14.091685,22.207545,20.041134,2.563714,0.583752,2.863865,0.015079,NA,NA,1.503065
1973,Quadrillion Btu,13.992126,22.187349,19.493237,2.53452,0.910177,2.861448,0.020422,NA,NA,1.529068
1974,Quadrillion Btu,14.074451,21.210145,18.574993,2.434819,1.272083,3.17658,0.02561,NA,NA,1.539662
1975,Quadrillion Btu,14.989315,19.640343,17.729318,2.337943,1.899798,3.154607,0.03378,NA,NA,1.498734
1976,Quadrillion Btu,15.653687,19.480319,17.261844,2.287714,2.111121,2.976265,0.037513,NA,NA,1.713373
1977,Quadrillion Btu,15.754741,19.565321,17.453737,2.285651,2.701762,2.333252,0.037382,NA,NA,1.838332
1978,Quadrillion Btu,14.909809,19.485219,18.433653,2.201959,3.024126,2.936983,0.030851,NA,NA,2.037605
1979,Quadrillion Btu,17.539583,20.076347,18.103598,2.232325,2.775827,2.930686,0.040262,NA,NA,2.151906
1980,Quadrillion Btu,18.597726,19.9076,18.248917,2.224841,2.739169,2.900144,0.052699,NA,NA,2.4755
1981,Quadrillion Btu,18.376773,19.699155,18.146019,2.266284,3.007589,2.757968,0.059437,NA,NA,2.596283
1982,Quadrillion Btu,18.638773,18.319025,18.308947,2.149202,3.131148,3.265558,0.050627,NA,NA,2.663452
1983,Quadrillion Btu,17.246671,16.593389,18.391794,2.136317,3.202549,3.52726,0.06391,NA,2.8e-5,2.904414
1984,Quadrillion Btu,19.719216,18.007933,18.848237,2.233806,3.552531,3.385811,0.080811,5.5e-5,6.8e-5,2.97112
1985,Quadrillion Btu,19.325166,16.98038,18.992407,2.203767,4.075563,2.970192,0.097421,1.11e-4,6e-5,3.016233
1986,Quadrillion Btu,19.509466,16.540801,18.375862,2.112878,4.380109,3.071179,0.107677,1.47e-4,4.4e-5,2.932095
1987,Quadrillion Btu,20.141104,17.135819,17.674787,2.178933,4.753933,2.634508,0.11227,1.09e-4,3.7e-5,2.874884
1988,Quadrillion Btu,20.737639,17.598597,17.278931,2.23069,5.586968,2.334265,0.106338,9.4e-5,9e-6,3.016049
1989,Quadrillion Btu,21.360178,17.847275,16.116883,2.123367,5.602161,2.837263,0.161539,0.054466,0.022033,3.159357
1990,Quadrillion Btu,22.487548,18.326155,15.571185,2.138298,6.10435,3.046391,0.170747,0.058768,0.029007,2.735112
1991,Quadrillion Btu,21.636424,18.228736,15.700826,2.265161,6.422132,3.015943,0.177626,0.061623,0.030796,2.781797
1992,Quadrillion Btu,21.694132,18.3751,15.222863,2.322585,6.479206,2.617436,0.178699,0.06288,0.029863,2.931678
1993,Quadrillion Btu,20.335654,18.584037,14.49439,2.36619,6.410499,2.891613,0.185673,0.06519,0.030987,2.908446
