fips,date,county,state,cases,deaths,long,lat
01001,2020-09-05,Autauga,Alabama,1492,24,-86.494165,32.500389
01003,2020-09-05,Baldwin,Alabama,4686,46,-87.762381,30.548923
01005,2020-09-05,Barbour,Alabama,776,7,-85.310038,31.844036
01007,2020-09-05,Bibb,Alabama,576,9,-87.127659,33.030921
01009,2020-09-05,Blount,Alabama,1376,12,-86.591491,33.955243
01011,2020-09-05,Bullock,Alabama,566,14,-85.701192,32.116327
01013,2020-09-05,Butler,Alabama,886,38,-86.65355,31.773539
01015,2020-09-05,Calhoun,Alabama,2830,39,-85.819442,33.72546
01017,2020-09-05,Chambers,Alabama,1059,41,-85.266474,32.860439
01019,2020-09-05,Cherokee,Alabama,449,12,-85.629194,34.179333
01021,2020-09-05,Chilton,Alabama,1282,16,-86.687406,32.877547
01023,2020-09-05,Choctaw,Alabama,334,12,-88.264164,32.016562
01025,2020-09-05,Clarke,Alabama,1020,14,-87.815673,31.685685
01027,2020-09-05,Clay,Alabama,416,6,-85.820227,33.272412
01029,2020-09-05,Cleburne,Alabama,242,5,-85.494315,33.62977
01031,2020-09-05,Coffee,Alabama,1133,7,-85.904715,31.354433
01033,2020-09-05,Colbert,Alabama,1507,22,-87.685151,34.723385
01035,2020-09-05,Conecuh,Alabama,496,11,-86.996483,31.418674
01037,2020-09-05,Coosa,Alabama,141,3,-86.155035,32.975932
01039,2020-09-05,Covington,Alabama,1184,27,-86.410955,31.282449
01041,2020-09-05,Crenshaw,Alabama,481,32,-86.29708,31.743487
01043,2020-09-05,Cullman,Alabama,1689,17,-86.831859,34.162362
01045,2020-09-05,Dale,Alabama,1157,42,-85.641269,31.383346
01047,2020-09-05,Dallas,Alabama,1666,26,-87.034955,32.408815
01049,2020-09-05,DeKalb,Alabama,2220,18,-85.817208,34.45511
01051,2020-09-05,Elmore,Alabama,2302,47,-86.225647,32.559652
01053,2020-09-05,Escambia,Alabama,1459,22,-87.282053,31.088737
01055,2020-09-05,Etowah,Alabama,3044,43,-86.025393,34.013693
01057,2020-09-05,Fayette,Alabama,345,6,-87.770355,33.726422
01059,2020-09-05,Franklin,Alabama,1620,27,-87.793594,34.460481
01061,2020-09-05,Geneva,Alabama,468,4,-85.788849,31.09426
01063,2020-09-05,Greene,Alabama,292,15,-87.924,32.830505
01065,2020-09-05,Hale,Alabama,570,28,-87.626084,32.775804
01067,2020-09-05,Henry,Alabama,408,4,-85.268828,31.478593
01069,2020-09-05,Houston,Alabama,2256,20,-85.391221,31.20455
01071,2020-09-05,Jackson,Alabama,1367,9,-85.938698,34.731984
01073,2020-09-05,Jefferson,Alabama,17171,312,-86.814688,33.518601
01075,2020-09-05,Lamar,Alabama,301,2,-88.109649,33.762769
01077,2020-09-05,Lauderdale,Alabama,1499,26,-87.608759,34.866179
01079,2020-09-05,Lawrence,Alabama,518,5,-87.272414,34.543683
01081,2020-09-05,Lee,Alabama,5101,58,-85.345833,32.588092
01083,2020-09-05,Limestone,Alabama,1754,19,-86.938972,34.815612
01085,2020-09-05,Lowndes,Alabama,629,27,-86.618688,32.162415
01087,2020-09-05,Macon,Alabama,453,19,-85.715007,32.425739
01089,2020-09-05,Madison,Alabama,6818,64,-86.613232,34.746392
01091,2020-09-05,Marengo,Alabama,666,19,-87.800648,32.340479
01093,2020-09-05,Marion,Alabama,822,28,-87.8743,34.111797
01095,2020-09-05,Marshall,Alabama,3655,42,-86.293279,34.311974
01097,2020-09-05,Mobile,Alabama,12536,270,-88.170637,30.683993
01099,2020-09-05,Monroe,Alabama,552,7,-87.360894,31.505611
01101,2020-09-05,Montgomery,Alabama,8171,166,-86.243797,32.346175
01103,2020-09-05,Morgan,Alabama,2982,24,-86.930781,34.514252
01105,2020-09-05,Perry,Alabama,524,5,-87.369219,32.581066
01107,2020-09-05,Pickens,Alabama,576,12,-88.066472,33.292973
01109,2020-09-05,Pike,Alabama,1044,9,-85.948647,31.787277
01111,2020-09-05,Randolph,Alabama,542,12,-85.427266,33.257607
01113,2020-09-05,Russell,Alabama,1658,2,-85.062843,32.421972
01115,2020-09-05,St. Clair,Alabama,1959,32,-86.369107,33.660628
